Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 15, 2019","1,594.06","1,598.20","1,591.04","1,596.45","1,596.45","33,356,500"
"Nov 14, 2019","1,587.35","1,594.71","1,586.68","1,588.79","1,588.79","32,760,700"
"Nov 13, 2019","1,588.29","1,591.85","1,581.06","1,589.18","1,589.18","35,092,800"
"Nov 12, 2019","1,595.62","1,604.64","1,593.41","1,595.12","1,595.12","34,660,100"
"Nov 11, 2019","1,592.75","1,595.44","1,588.31","1,594.77","1,594.77","30,355,300"
"Nov 08, 2019","1,590.96","1,598.93","1,587.50","1,598.86","1,598.86","34,991,500"
"Nov 07, 2019","1,598.25","1,607.41","1,590.33","1,593.99","1,593.99","41,446,400"
"Nov 06, 2019","1,598.42","1,598.42","1,587.02","1,589.54","1,589.54","44,581,900"
"Nov 05, 2019","1,598.94","1,608.80","1,597.93","1,599.61","1,599.61","44,861,300"
"Nov 04, 2019","1,597.10","1,602.06","1,593.74","1,597.40","1,597.40","41,468,500"
"Nov 01, 2019","1,569.20","1,589.33","1,569.20","1,589.33","1,589.33","39,302,000"
"Oct 31, 2019","1,570.19","1,570.48","1,552.87","1,562.45","1,562.45","41,392,800"
"Oct 30, 2019","1,575.61","1,575.61","1,562.05","1,572.85","1,572.85","37,760,300"
"Oct 29, 2019","1,571.76","1,581.13","1,569.46","1,577.07","1,577.07","35,899,300"
"Oct 28, 2019","1,563.50","1,576.99","1,563.50","1,571.93","1,571.93","35,212,300"
"Oct 25, 2019","1,548.99","1,562.56","1,547.78","1,558.71","1,558.71","33,703,700"
"Oct 24, 2019","1,556.60","1,557.33","1,544.89","1,548.49","1,548.49","36,926,000"
"Oct 23, 2019","1,550.59","1,554.68","1,545.89","1,552.86","1,552.86","33,928,700"
"Oct 22, 2019","1,550.77","1,557.89","1,547.31","1,550.87","1,550.87","35,238,900"
"Oct 21, 2019","1,541.73","1,557.02","1,541.73","1,552.41","1,552.41","32,716,200"
"Oct 18, 2019","1,539.24","1,540.72","1,525.47","1,535.48","1,535.48","32,642,900"
"Oct 17, 2019","1,530.18","1,542.66","1,530.18","1,541.84","1,541.84","31,159,600"
"Oct 16, 2019","1,521.48","1,529.60","1,520.41","1,525.06","1,525.06","32,225,700"
"Oct 15, 2019","1,508.54","1,528.42","1,507.80","1,523.30","1,523.30","33,407,400"
"Oct 14, 2019","1,507.33","1,508.62","1,499.98","1,505.43","1,505.43","25,570,200"
"Oct 11, 2019","1,486.96","1,525.83","1,486.96","1,511.90","1,511.90","35,804,600"
"Oct 10, 2019","1,480.71","1,491.57","1,480.71","1,485.36","1,485.36","32,172,500"
"Oct 09, 2019","1,480.00","1,484.83","1,476.51","1,479.46","1,479.46","27,268,200"
"Oct 08, 2019","1,494.61","1,494.61","1,472.55","1,472.60","1,472.60","33,564,500"
"Oct 07, 2019","1,498.71","1,507.33","1,492.61","1,497.79","1,497.79","29,401,400"
"Oct 04, 2019","1,486.57","1,500.77","1,482.02","1,500.70","1,500.70","29,908,300"
"Oct 03, 2019","1,476.44","1,487.35","1,462.22","1,486.35","1,486.35","35,036,400"
"Oct 02, 2019","1,493.07","1,493.07","1,469.08","1,479.63","1,479.63","39,125,200"
"Oct 01, 2019","1,523.85","1,539.09","1,491.55","1,493.43","1,493.43","35,580,400"
"Sep 30, 2019","1,521.49","1,530.66","1,518.34","1,523.37","1,523.37","32,476,100"
"Sep 27, 2019","1,534.12","1,539.37","1,515.64","1,520.48","1,520.48","32,436,500"
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
